prompt,answer
The first-line treatment for anaphylaxis is,Epinephrine
Deficiency of Vitamin C results in the disease known as,Scurvy
The medical term for high blood pressure is,Hypertension
Insulin is produced by the,Pancreas
The most common cause of community-acquired pneumonia is,Streptococcus pneumoniae
The antidote for opioid overdose is,Naloxone
The universal blood donor type is blood group,O negative
The main function of red blood cells is,Oxygen transport
The longest bone in the human body is the leg bone called the,Femur
The normal range for adult resting heart rate is between,60-100 bpm
